Categoría,Modelo,Descripción
Detección de Fake News,Random Forest,"Posee el mejor Recall en test, ideal para detectar noticias falsas sin omitir casos importantes."
Detección de Real News,CNN,"Alcanza la mayor Precisión, reduciendo falsos positivos. Perfecto para validar contenido legítimo."
Modelo más equilibrado,GRU,"Presenta consistencia entre validación y prueba, indicando buena estabilidad y generalización."
Modelo más robusto,GRU,Tiene el menor sobreajuste. Ideal para entornos con datos no vistos o cambiantes.
Más rápido en predicción,Logistic Regression,Tiempo de inferencia más bajo. Ideal para sistemas en tiempo real o móviles.
Más eficiente en entrenamiento,Decision Tree,Entrena en menos tiempo. Útil cuando se requieren actualizaciones frecuentes del modelo.
Mayor capacidad de discriminación (AUC),CNN,Excelente balance entre sensibilidad y especificidad. Distingue claramente entre clases.
Modelo más consistente,LSTM,"Mantiene equilibrio entre métricas clave (Precision, Recall, F1). Ideal para decisiones balanceadas."
Rendimiento global (F1),CNN,"Obtiene el mayor F1, ofreciendo el mejor rendimiento global en clasificación."
Ideal para interpretación y explicación,Decision Tree,Permite entender las decisiones internas. Recomendado para auditorías o explicación de resultados.
